"","code","license","publisher","datasetName","year","month","day","scientificName","family","FID","date","depth","mlotst","to","so","zo","prouct_type","bathy","slope","FID.1","lon","lat"
"2265",13803,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,1,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,13.0999999999999,21.272,36.136,0.237,"Reanalysis",1956.27026367188,0.266768515110016,0,-714.625425758233,4456.9620429188
"2266",13812,"CC_BY_NC_4_0","Institute of Marine Research",NA,2001,7,8,"Physeter macrocephalus","Physeteridae",0,"2001-07-01",0,19.2999999999997,23.008,36.411,0.194,"Reanalysis",4331.86328125,1.10151827335358,0,-367.857589378561,4040.48734803266
"2267",13828,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,19,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.8999999999996,21.931,36.276,0.293,"Reanalysis",1739.97436523438,1.13606345653534,0,-920.313977187201,4352.69440219366
"2268",13832,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,8,17,"Physeter macrocephalus","Physeteridae",0,"2002-08-01",0,14.6999999999998,23.829,36.201,0.318,"Reanalysis",1823.64001464844,1.48048663139343,0,-610.577438681454,4393.32207322945
"2269",13836,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,13,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.5,22.449,36.304,0.297,"Reanalysis",1732.23962402344,0.855631113052368,0,-845.085630142493,4302.76895372118
"2270",13837,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,9,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,13.1999999999998,22.045,36.163,0.233,"Reanalysis",691.790283203125,0.287055671215057,0,-634.208312939774,4346.6177800184
"2271",13839,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,13,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.8999999999996,22.655,36.315,0.31,"Reanalysis",1763.13757324219,0.889320492744446,0,-822.180659929453,4303.56376043832
"2272",13845,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,22,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,17.8999999999996,19.937,36.217,0.237,"Reanalysis",2214.60498046875,1.43582761287689,0,-493.312047695589,4217.89723600037
"2273",13848,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,14,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.6999999999998,22.526,36.324,0.304,"Reanalysis",1509.71337890625,0.798329174518585,0,-832.52470544425,4296.0793917282
"2274",13852,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,6,24,"Physeter macrocephalus","Physeteridae",0,"1999-06-01",0,19.0999999999999,20.058,36.163,0.229,"Reanalysis",931.480834960938,1.00226283073425,0,-660.042796853352,4377.74331575748
"2275",13854,"CC_BY_NC_4_0","Institute of Marine Research",NA,1999,7,2,"Physeter macrocephalus","Physeteridae",0,"1999-07-01",0,11.5999999999999,22.735,36.26,0.238,"Reanalysis",2058.8115234375,1.60399973392487,0,-384.793636716379,4216.75744341695
"2276",13855,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,31,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.5,22.535,36.291,0.292,"Reanalysis",1687.44982910156,1.13500249385834,0,-807.187998359048,4322.92090350122
"2277",13857,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,28,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.5,22.16,36.263,0.281,"Reanalysis",1837.97326660156,0.413868993520737,0,-835.464925617048,4327.60670934375
"2278",13858,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,17,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,18.5999999999999,19.026,36.184,0.21,"Reanalysis",2905.06005859375,0.556192398071289,0,-498.861951783282,4275.15118132078
"2279",13859,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,28,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.5,22.16,36.263,0.281,"Reanalysis",1536.05212402344,0.384999632835388,0,-826.76594797124,4330.75127786899
"2280",13861,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,7,28,"Physeter macrocephalus","Physeteridae",0,"2012-07-01",0,14.5,22.16,36.263,0.281,"Reanalysis",1837.97326660156,0.413868993520737,0,-833.000577471864,4326.04452402055
